Index,Coefficient
13,-im * M .* pertparam .* (18 * M .^ 2 .* (x .^ 2 - 1) + M .* r .* (17 - 13 * x .^ 2) + r .^ 2 .* (-im * omega .* r + x .^ 2 .* (im * omega .* r + 2) - 4)) ./ (8 * r .^ 8 .* sqrt(1 - x .^ 2) .* (2 * M - r))
14,-im * M .* pertparam .* x ./ (8 * r .^ 7)
15,0
16,0
20,im * M .* pertparam .* (m .^ 3 .* r .* (2 * M - r) .* (3 * M - 2 * im * omega .* r .^ 2) - m .^ 2 .* r .* x .* (2 * M - r) .* (28 * M + 9 * r .* (-im * omega .* r - 1)) + m .* (-264 * M .^ 3 .* (x .^ 2 - 1) + 8 * M .^ 2 .* r .* (5 * im * omega .* r + x .^ 2 .* (-5 * im * omega .* r + 63) - 44) + M .* r .^ 2 .* (22 * omega .^ 2 .* r .^ 2 - 29 * im * omega .* r + x .^ 2 .* (-22 * omega .^ 2 .* r .^ 2 + 5 * im * omega .* r - 304) + 156) + r .^ 3 .* (-2 * im * omega .^ 3 .* r .^ 3 - 5 * omega .^ 2 .* r .^ 2 + 7 * im * omega .* r + x .^ 2 .* (2 * im * omega .^ 3 .* r .^ 3 + 5 * omega .^ 2 .* r .^ 2 + 5 * im * omega .* r + 59) - 23)) + 2 * x .* (2 * M - r) .* (132 * M .^ 2 .* (x .^ 2 - 1) + 2 * M .* r .* (-9 * im * omega .* r + x .^ 2 .* (9 * im * omega .* r - 66) + 50) + r .^ 2 .* (-3 * omega .^ 2 .* r .^ 2 + 5 * im * omega .* r + 3 * x .^ 2 .* (omega .^ 2 .* r .^ 2 - im * omega .* r + 11) - 15))) ./ (8 * r .^ 8 .* (2 * M - r) .* (x .^ 2 - 1))
21,im * M .* pertparam .* (-264 * M .^ 3 .* (x .^ 2 - 1) + 2 * M .^ 2 .* r .* (3 * m .^ 2 - 9 * m .* x + 20 * im * omega .* r + 2 * x .^ 2 .* (-10 * im * omega .* r + 83) - 173) + M .* r .^ 2 .* (-7 * m .^ 2 + m .* x .* (-4 * im * omega .* r + 25) + 6 * omega .^ 2 .* r .^ 2 - 35 * im * omega .* r + x .^ 2 .* (-6 * omega .^ 2 .* r .^ 2 + 37 * im * omega .* r - 132) + 145) + r .^ 3 .* (2 * m .^ 2 + 2 * im * m .* x .* (omega .* r + 4im) - 3 * omega .^ 2 .* r .^ 2 + 3 * im * omega .* r + x .^ 2 .* (3 * omega .^ 2 .* r .^ 2 - 4 * im * omega .* r + 16) - 19)) ./ (8 * r .^ 8 .* sqrt(1 - x .^ 2) .* (2 * M - r))
22,M .* pertparam .* (-25 * im * M .* x + m .* (3 * im * M + 2 * omega .* r .^ 2) + r .* x .* (-omega .* r + 15im)) ./ (8 * r .^ 7)
23,-im * M .* pertparam .* sqrt(1 - x .^ 2) .* (3 * M - 2 * r) ./ (8 * r .^ 7)
24,0
25,0
26,0
30,im * M .* pertparam .* (m .^ 2 .* r .* x .* (2 * M - r) + m .* (36 * M .^ 2 .* (x .^ 2 - 1) + M .* r .* (31 - 39 * x .^ 2) + r .^ 2 .* (-im * omega .* r + x .^ 2 .* (im * omega .* r + 10) - 6)) - 2 * x .* (2 * M - r) .* (18 * M .* (x .^ 2 - 1) + r .* (7 - 9 * x .^ 2))) ./ (8 * r .^ 7 .* (x .^ 2 - 1))
