Index,Coefficient
13,32 * M .* spina .* sqrt(1 - x .^ 2) .* (-24 * im * M .^ 2 + 2 * M .* r .* (4 * r .* conj(omega) + 15im) + r .^ 2 .* (-6 * r .* conj(omega) - 11im)) ./ (r .^ 6 .* (2 * M - r) .^ 3)
14,0
15,0
16,0
20,-32 * im * M .* spina .* (528 * M .^ 3 .* m + 528 * M .^ 3 .* cos(3 * acos(x)) - 32 * M .^ 2 .* m .^ 3 .* r + 128 * im * M .^ 2 .* m .* r .^ 2 .* conj(omega) - 824 * M .^ 2 .* m .* r + 144 * im * M .^ 2 .* r .^ 2 .* cos(3 * acos(x)) .* conj(omega) - 792 * M .^ 2 .* r .* cos(3 * acos(x)) - 12 * im * M .* m .^ 3 .* r .^ 3 .* conj(omega) + 38 * M .* m .^ 3 .* r .^ 2 - 18 * M .* m .* r .^ 4 .* conj(omega) .^ 2 - 200 * im * M .* m .* r .^ 3 .* conj(omega) + 444 * M .* m .* r .^ 2 - 36 * M .* r .^ 4 .* cos(3 * acos(x)) .* conj(omega) .^ 2 - 180 * im * M .* r .^ 3 .* cos(3 * acos(x)) .* conj(omega) + 396 * M .* r .^ 2 .* cos(3 * acos(x)) + 6 * im * m .^ 3 .* r .^ 4 .* conj(omega) - 11 * m .^ 3 .* r .^ 3 - 6 * im * m .* r .^ 6 .* conj(omega) .^ 3 + 21 * m .* r .^ 5 .* conj(omega) .^ 2 + 70 * im * m .* r .^ 4 .* conj(omega) - 82 * m .* r .^ 3 - m .* (528 * M .^ 3 + 8 * M .^ 2 .* r .* (16 * im * r .* conj(omega) - 95) + 2 * M .* r .^ 2 .* (-9 * r .^ 2 .* conj(omega) .^ 2 - 76 * im * r .* conj(omega) + 178) + r .^ 3 .* (-6 * im * r .^ 3 .* conj(omega) .^ 3 + 21 * r .^ 2 .* conj(omega) .^ 2 + 46 * im * r .* conj(omega) - 54)) .* cos(2 * acos(x)) + 18 * r .^ 5 .* cos(3 * acos(x)) .* conj(omega) .^ 2 + 54 * im * r .^ 4 .* cos(3 * acos(x)) .* conj(omega) - 66 * r .^ 3 .* cos(3 * acos(x)) - 2 * x .* (2 * M - r) .* (132 * M .^ 2 - 4 * M .* r .* (7 * m .^ 2 - 9 * im * r .* conj(omega) + 29) + r .^ 2 .* (4 * m .^ 2 .* (-3 * im * r .* conj(omega) + 5) - 9 * r .^ 2 .* conj(omega) .^ 2 - 27 * im * r .* conj(omega) + 25))) ./ (r .^ 6 .* (1 - x .^ 2) .* (2 * M - r) .^ 3)
21,-32 * im * M .* spina .* (-528 * M .^ 3 + 8 * M .^ 2 .* m .^ 2 .* r - 144 * im * M .^ 2 .* r .^ 2 .* conj(omega) + 840 * M .^ 2 .* r - 10 * M .* m .^ 2 .* r .^ 2 + 30 * M .* r .^ 4 .* conj(omega) .^ 2 + 188 * im * M .* r .^ 3 .* conj(omega) - 452 * M .* r .^ 2 + 3 * m .^ 2 .* r .^ 3 - im * m .* r .^ 2 .* x .* (2 * M - r) .* (-6 * r .* conj(omega) + im) + 6 * im * r .^ 6 .* conj(omega) .^ 3 - 27 * r .^ 5 .* conj(omega) .^ 2 - 60 * im * r .^ 4 .* conj(omega) + 82 * r .^ 3 + (528 * M .^ 3 + 16 * M .^ 2 .* r .* (9 * im * r .* conj(omega) - 50) + 2 * M .* r .^ 2 .* (-15 * r .^ 2 .* conj(omega) .^ 2 - 94 * im * r .* conj(omega) + 203) + 3 * r .^ 3 .* (-2 * im * r .^ 3 .* conj(omega) .^ 3 + 9 * r .^ 2 .* conj(omega) .^ 2 + 20 * im * r .* conj(omega) - 23)) .* cos(2 * acos(x))) ./ (r .^ 6 .* sqrt(1 - x .^ 2) .* (2 * M - r) .^ 3)
22,32 * im * M .* spina .* (-16 * M .* m - m .* r .* (6 * im * r .* conj(omega) - 11) + x .* (4 * M - 5 * r)) ./ (r .^ 5 .* (-2 * M + r) .^ 2)
23,32 * im * M .* spina .* sqrt(1 - x .^ 2) .* (4 * M - 3 * r) ./ (r .^ 5 .* (-2 * M + r) .^ 2)
24,0
25,0
26,0
30,32 * im * M .* spina .* (72 * M .^ 2 .* m + 72 * M .^ 2 .* cos(3 * acos(x)) - 4 * M .* m .^ 3 .* r + 22 * im * M .* m .* r .^ 2 .* conj(omega) - 82 * M .* m .* r + 24 * im * M .* r .^ 2 .* cos(3 * acos(x)) .* conj(omega) - 72 * M .* r .* cos(3 * acos(x)) + 2 * m .^ 3 .* r .^ 2 - 4 * m .* r .^ 4 .* conj(omega) .^ 2 - 13 * im * m .* r .^ 3 .* conj(omega) + 23 * m .* r .^ 2 - m .* (72 * M .^ 2 + 22 * M .* r .* (im * r .* conj(omega) - 3) + r .^ 2 .* (-4 * r .^ 2 .* conj(omega) .^ 2 - 13 * im * r .* conj(omega) + 15)) .* cos(2 * acos(x)) - 12 * im * r .^ 3 .* cos(3 * acos(x)) .* conj(omega) + 18 * r .^ 2 .* cos(3 * acos(x)) - 2 * x .* (2 * M - r) .* (18 * M + r .* (-4 * m .^ 2 + 6 * im * r .* conj(omega) - 9))) ./ (r .^ 5 .* (1 - x .^ 2) .* (-2 * M + r) .^ 2)
31,-64 * im * M .* spina .* sqrt(1 - x .^ 2) .* (72 * M .^ 2 + 2 * M .* r .* (13 * im * r .* conj(omega) - 37) - m .* r .* x .* (2 * M - r) ./ (1 - x .^ 2) + r .^ 2 .* (-4 * r .^ 2 .* conj(omega) .^ 2 - 15 * im * r .* conj(omega) + 19)) ./ (r .^ 5 .* (-2 * M + r) .^ 2)
32,64 * im * M .* m .* spina ./ (r .^ 4 .* (2 * M - r))
33,0
34,0
35,0
36,0
40,64 * M .* spina .* (-6 * im * M .* m - m .* r .* (-r .* conj(omega) - 3im) + 6 * im * x .* (2 * M - r)) ./ (r .^ 4 .* (2 * M - r))
41,64 * M .* spina .* sqrt(1 - x .^ 2) .* (6 * im * M + r .* (-r .* conj(omega) - 3im)) ./ (r .^ 4 .* (2 * M - r))
42,0
43,0
44,0
45,0
46,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
60,0
61,0
62,0
63,0
64,0
65,0
66,0
