Index,Coefficient
13,32 * M .* spina .* sqrt(1 - x .^ 2) .* (-24 * im * M .^ 2 + 2 * M .* r .* (-4 * omega .* r + 15im) + r .^ 2 .* (6 * omega .* r - 11im)) ./ (r .^ 6 .* (2 * M - r) .^ 3)
14,0
15,0
16,0
20,-32 * im * M .* spina .* (-528 * M .^ 3 .* m + 528 * M .^ 3 .* cos(3 * acos(x)) + 32 * M .^ 2 .* m .^ 3 .* r + 128 * im * M .^ 2 .* m .* omega .* r .^ 2 + 824 * M .^ 2 .* m .* r - 144 * im * M .^ 2 .* omega .* r .^ 2 .* cos(3 * acos(x)) - 792 * M .^ 2 .* r .* cos(3 * acos(x)) - 12 * im * M .* m .^ 3 .* omega .* r .^ 3 - 38 * M .* m .^ 3 .* r .^ 2 + 18 * M .* m .* omega .^ 2 .* r .^ 4 - 200 * im * M .* m .* omega .* r .^ 3 - 444 * M .* m .* r .^ 2 - 36 * M .* omega .^ 2 .* r .^ 4 .* cos(3 * acos(x)) + 180 * im * M .* omega .* r .^ 3 .* cos(3 * acos(x)) + 396 * M .* r .^ 2 .* cos(3 * acos(x)) + 6 * im * m .^ 3 .* omega .* r .^ 4 + 11 * m .^ 3 .* r .^ 3 - 6 * im * m .* omega .^ 3 .* r .^ 6 - 21 * m .* omega .^ 2 .* r .^ 5 + 70 * im * m .* omega .* r .^ 4 + 82 * m .* r .^ 3 + m .* (528 * M .^ 3 + 8 * M .^ 2 .* r .* (-16 * im * omega .* r - 95) + 2 * M .* r .^ 2 .* (-9 * omega .^ 2 .* r .^ 2 + 76 * im * omega .* r + 178) + r .^ 3 .* (6 * im * omega .^ 3 .* r .^ 3 + 21 * omega .^ 2 .* r .^ 2 - 46 * im * omega .* r - 54)) .* cos(2 * acos(x)) + 18 * omega .^ 2 .* r .^ 5 .* cos(3 * acos(x)) - 54 * im * omega .* r .^ 4 .* cos(3 * acos(x)) - 66 * r .^ 3 .* cos(3 * acos(x)) - 2 * x .* (2 * M - r) .* (132 * M .^ 2 - 4 * M .* r .* (7 * m .^ 2 + 9 * im * omega .* r + 29) + r .^ 2 .* (4 * m .^ 2 .* (3 * im * omega .* r + 5) - 9 * omega .^ 2 .* r .^ 2 + 27 * im * omega .* r + 25))) ./ (r .^ 6 .* (1 - x .^ 2) .* (2 * M - r) .^ 3)
21,-32 * im * M .* spina .* (-528 * M .^ 3 + 8 * M .^ 2 .* m .^ 2 .* r + 144 * im * M .^ 2 .* omega .* r .^ 2 + 840 * M .^ 2 .* r - 10 * M .* m .^ 2 .* r .^ 2 + 30 * M .* omega .^ 2 .* r .^ 4 - 188 * im * M .* omega .* r .^ 3 - 452 * M .* r .^ 2 + 3 * m .^ 2 .* r .^ 3 + im * m .* r .^ 2 .* x .* (2 * M - r) .* (6 * omega .* r + im) - 6 * im * omega .^ 3 .* r .^ 6 - 27 * omega .^ 2 .* r .^ 5 + 60 * im * omega .* r .^ 4 + 82 * r .^ 3 + (528 * M .^ 3 + 16 * M .^ 2 .* r .* (-9 * im * omega .* r - 50) + 2 * M .* r .^ 2 .* (-15 * omega .^ 2 .* r .^ 2 + 94 * im * omega .* r + 203) + 3 * r .^ 3 .* (2 * im * omega .^ 3 .* r .^ 3 + 9 * omega .^ 2 .* r .^ 2 - 20 * im * omega .* r - 23)) .* cos(2 * acos(x))) ./ (r .^ 6 .* sqrt(1 - x .^ 2) .* (2 * M - r) .^ 3)
22,32 * im * M .* spina .* (16 * M .* m + m .* r .* (-6 * im * omega .* r - 11) + x .* (4 * M - 5 * r)) ./ (r .^ 5 .* (-2 * M + r) .^ 2)
23,32 * im * M .* spina .* sqrt(1 - x .^ 2) .* (4 * M - 3 * r) ./ (r .^ 5 .* (-2 * M + r) .^ 2)
24,0
25,0
